city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Moravský Beroun,49.7937,17.4422,Czechia,CZ,Moravskoslezský Kraj,,2934,2934
Úštěk,50.5848,14.3434,Czechia,CZ,Ústecký Kraj,,2928,2928
Ivanovice na Hané,49.3054,17.0935,Czechia,CZ,Jihomoravský Kraj,,2923,2923
Budišov nad Budišovkou,49.7951,17.6297,Czechia,CZ,Moravskoslezský Kraj,,2918,2918
Smiřice,50.2998,15.8652,Czechia,CZ,Královéhradecký Kraj,,2913,2913
Kostelec na Hané,49.5140,17.0583,Czechia,CZ,Olomoucký Kraj,,2900,2900
Terezín,50.5111,14.1506,Czechia,CZ,Ústecký Kraj,,2899,2899
Vejprty,50.4924,13.0322,Czechia,CZ,Ústecký Kraj,,2866,2866
Spálené Poříčí,49.6138,13.6056,Czechia,CZ,Plzeňský Kraj,,2856,2856
Zákupy,50.6848,14.6453,Czechia,CZ,Liberecký Kraj,,2851,2851
Hrádek,49.7100,13.6542,Czechia,CZ,Plzeňský Kraj,,2850,2850
Městec Králové,50.2072,15.2977,Czechia,CZ,Středočeský Kraj,,2846,2846
Český Dub,50.6606,14.9963,Czechia,CZ,Liberecký Kraj,,2821,2821
Raspenava,50.9042,15.1148,Czechia,CZ,Liberecký Kraj,,2819,2819
Kunštát,49.5065,16.5173,Czechia,CZ,Jihomoravský Kraj,,2808,2808
Jevíčko,49.6322,16.7113,Czechia,CZ,Pardubický Kraj,,2801,2801
Dolní Bousov,50.4383,15.1282,Czechia,CZ,Středočeský Kraj,,2788,2788
Konice,49.5903,16.8891,Czechia,CZ,Olomoucký Kraj,,2784,2784
Javorník,50.3908,17.0028,Czechia,CZ,Olomoucký Kraj,,2755,2755
Koryčany,49.1064,17.1643,Czechia,CZ,Zlínský Kraj,,2751,2751
Hejnice,50.8773,15.1818,Czechia,CZ,Liberecký Kraj,,2736,2736
Plasy,49.9346,13.3904,Czechia,CZ,Plzeňský Kraj,,2716,2716
Kelč,49.4784,17.8154,Czechia,CZ,Zlínský Kraj,,2706,2706
